,Postcode,OA_Code,Total,Percentage
L37 7DY: E00035451,L37 7DY,E00035451,2,2
L37 8BQ: E00035865,L37 8BQ,E00035865,65,96
L37 8BQ: E00035873,L37 8BQ,E00035873,3,4
L37 8RP: E00035851,L37 8RP,E00035851,4,44
L37 8RP: E00035875,L37 8RP,E00035875,5,56
L38 0BA: E00035618,L38 0BA,E00035618,23,85
L38 0BA: E00035876,L38 0BA,E00035876,4,15
L38 0BB: E00035621,L38 0BB,E00035621,28,88
L38 0BB: E00035876,L38 0BB,E00035876,4,13
L38 0DB: E00035618,L38 0DB,E00035618,7,33
L38 0DB: E00035620,L38 0DB,E00035620,14,67
L38 3RA: E00035596,L38 3RA,E00035596,4,80
L38 3RA: E00035620,L38 3RA,E00035620,1,20
L38 3RB: E00035596,L38 3RB,E00035596,4,44
L38 3RB: E00035620,L38 3RB,E00035620,5,56
L38 3RJ: E00035620,L38 3RJ,E00035620,20,95
L38 3RJ: E00035621,L38 3RJ,E00035621,1,5
L38 6JB: E00035876,L38 6JB,E00035876,3,23
L38 6JB: E00035877,L38 6JB,E00035877,10,77
L3  8BT: E00033672,L3  8BT,E00033672,41,61
L3  8BT: E00033690,L3  8BT,E00033690,26,39
L3  8BZ: E00033687,L3  8BZ,E00033687,3,6
L3  8BZ: E00033690,L3  8BZ,E00033690,50,94
L3  8DR: E00033672,L3  8DR,E00033672,5,2
L3  8DR: E00033673,L3  8DR,E00033673,5,2
L3  8DR: E00176758,L3  8DR,E00176758,209,95
L3  8DW: E00176738,L3  8DW,E00176738,6,26
L3  8DW: E00176758,L3  8DW,E00176758,17,74
L3  8JA: E00176636,L3  8JA,E00176636,14,17
L3  8JA: E00176646,L3  8JA,E00176646,68,83
L3  8NP: E00033672,L3  8NP,E00033672,25,56
L3  8NP: E00176752,L3  8NP,E00176752,20,44
L3  8NY: E00033672,L3  8NY,E00033672,56,97
L3  8NY: E00033690,L3  8NY,E00033690,2,3
L3  8QG: E00033672,L3  8QG,E00033672,39,72
L3  8QG: E00033690,L3  8QG,E00033690,15,28
L39 0EE: E00129273,L39 0EE,E00129273,4,25
L39 0EE: E00129302,L39 0EE,E00129302,12,75
L39 0HP: E00129305,L39 0HP,E00129305,13,76
L39 0HP: E00129306,L39 0HP,E00129306,4,24
L39 1NE: E00129498,L39 1NE,E00129498,13,87
L39 1NE: E00129500,L39 1NE,E00129500,2,13
L39 2AP: E00129355,L39 2AP,E00129355,176,98
L39 2AP: E00129356,L39 2AP,E00129356,3,2
L39 2DP: E00129351,L39 2DP,E00129351,50,98
L39 2DP: E00129366,L39 2DP,E00129366,1,2
L39 3AJ: E00129408,L39 3AJ,E00129408,2,40
L39 3AJ: E00129411,L39 3AJ,E00129411,3,60
L39 3BN: E00129411,L39 3BN,E00129411,8,19
L39 3BN: E00129412,L39 3BN,E00129412,34,81
L39 3NH: E00129499,L39 3NH,E00129499,43,96
L39 3NH: E00129500,L39 3NH,E00129500,2,4
L39 4PY: E00129353,L39 4PY,E00129353,24,48
L39 4PY: E00129356,L39 4PY,E00129356,26,52
L39 4QZ: E00129353,L39 4QZ,E00129353,83,98
L39 4QZ: E00168817,L39 4QZ,E00168817,2,2
L39 4RA: E00129353,L39 4RA,E00129353,2,13
L39 4RA: E00168817,L39 4RA,E00168817,13,87
L39 4SN: E00129288,L39 4SN,E00129288,50,93
L39 4SN: E00129415,L39 4SN,E00129415,4,7
L39 4SW: E00129288,L39 4SW,E00129288,21,28
L39 4SW: E00129402,L39 4SW,E00129402,53,72
L39 4SX: E00129413,L39 4SX,E00129413,12,15
L39 4SX: E00129414,L39 4SX,E00129414,68,85
L39 4UF: E00129299,L39 4UF,E00129299,8,14
L39 4UF: E00129416,L39 4UF,E00129416,48,86
L39 4UN: E00129353,L39 4UN,E00129353,53,84
L39 4UN: E00129356,L39 4UN,E00129356,10,16
L39 4XP: E00129299,L39 4XP,E00129299,46,72
L39 4XP: E00129416,L39 4XP,E00129416,18,28
L39 5AB: E00129290,L39 5AB,E00129290,51,89
L39 5AB: E00129294,L39 5AB,E00129294,6,11
L39 5AP: E00129294,L39 5AP,E00129294,2,2
L39 5AP: E00129295,L39 5AP,E00129295,101,98
L39 5AU: E00129294,L39 5AU,E00129294,29,88
L39 5AU: E00129295,L39 5AU,E00129295,4,12
L39 5BG: E00129280,L39 5BG,E00129280,15,88
L39 5BG: E00129292,L39 5BG,E00129292,2,12
L39 5BJ: E00129280,L39 5BJ,E00129280,6,13
L39 5BJ: E00129292,L39 5BJ,E00129292,39,87
L39 5FB: E00129294,L39 5FB,E00129294,4,40
L39 5FB: E00129295,L39 5FB,E00129295,6,60
L39 5JA: E00129294,L39 5JA,E00129294,2,40
L39 5JA: E00129297,L39 5JA,E00129297,3,60
L39 6RD: E00129272,L39 6RD,E00129272,2,2
L39 6RD: E00129283,L39 6RD,E00129283,96,98
L39 6RE: E00129272,L39 6RE,E00129272,2,2
L39 6RE: E00129283,L39 6RE,E00129283,84,98
L39 6SQ: E00129277,L39 6SQ,E00129277,1,6
L39 6SQ: E00129278,L39 6SQ,E00129278,16,94
L39 7HG: E00129270,L39 7HG,E00129270,12,24
L39 7HG: E00129293,L39 7HG,E00129293,39,76
L39 7JU: E00129285,L39 7JU,E00129285,31,91
L39 7JU: E00129383,L39 7JU,E00129383,3,9
L39 8RL: E00129293,L39 8RL,E00129293,10,22
L39 8RL: E00129383,L39 8RL,E00129383,35,78
L39 8SE: E00129382,L39 8SE,E00129382,3,12
L39 8SE: E00129386,L39 8SE,E00129386,23,88
L39 9EA: E00129301,L39 9EA,E00129301,2,22
L39 9EA: E00129359,L39 9EA,E00129359,7,78
L39 9EB: E00129301,L39 9EB,E00129301,2,33
L39 9EB: E00129303,L39 9EB,E00129303,4,67
L39 9EE: E00129289,L39 9EE,E00129289,10,59
L39 9EE: E00129303,L39 9EE,E00129303,7,41
L39 9EL: E00129303,L39 9EL,E00129303,5,45
L39 9EL: E00129359,L39 9EL,E00129359,6,55
L39 9EN: E00129301,L39 9EN,E00129301,2,17
L39 9EN: E00129303,L39 9EN,E00129303,10,83
L39 9ER: E00129302,L39 9ER,E00129302,4,67
L39 9ER: E00129303,L39 9ER,E00129303,2,33
L39 9EW: E00129303,L39 9EW,E00129303,5,25
L39 9EW: E00129304,L39 9EW,E00129304,15,75
L3  9EL: E00176625,L3  9EL,E00176625,4,6
L3  9EL: E00176683,L3  9EL,E00176683,65,94
L40 0RA: E00129335,L40 0RA,E00129335,1,1
L40 0RA: E00129346,L40 0RA,E00129346,69,99
L40 0SJ: E00129338,L40 0SJ,E00129338,2,67
L40 0SJ: E00129347,L40 0SJ,E00129347,1,33
L40 0SQ: E00129335,L40 0SQ,E00129335,1,1
L40 0SQ: E00129338,L40 0SQ,E00129338,92,99
L40 1SQ: E00129469,L40 1SQ,E00129469,38,81
L40 1SQ: E00129567,L40 1SQ,E00129567,9,19
L40 1UA: E00129464,L40 1UA,E00129464,42,91
L40 1UA: E00129466,L40 1UA,E00129466,2,4
L40 1UA: E00129553,L40 1UA,E00129553,2,4
L40 2QJ: E00126716,L40 2QJ,E00126716,2,2
L40 2QJ: E00126718,L40 2QJ,E00126718,80,98
L40 2QW: E00126718,L40 2QW,E00126718,32,94
L40 2QW: E00126719,L40 2QW,E00126719,2,6
L40 2QY: E00126715,L40 2QY,E00126715,36,84
L40 2QY: E00126718,L40 2QY,E00126718,7,16
L40 3SA: E00126714,L40 3SA,E00126714,60,88
L40 3SA: E00129451,L40 3SA,E00129451,8,12
L40 3SL: E00129451,L40 3SL,E00129451,4,15
L40 3SL: E00129462,L40 3SL,E00129462,23,85
L40 3SN: E00126717,L40 3SN,E00126717,2,13
L40 3SN: E00129462,L40 3SN,E00129462,14,88
L40 3SS: E00129462,L40 3SS,E00129462,13,62
L40 3SS: E00129593,L40 3SS,E00129593,8,38
L40 3SZ: E00126714,L40 3SZ,E00126714,5,63
L40 3SZ: E00129451,L40 3SZ,E00129451,3,38
L40 3TD: E00126714,L40 3TD,E00126714,2,7
L40 3TD: E00126719,L40 3TD,E00126719,28,93
L40 3TG: E00126714,L40 3TG,E00126714,9,75
L40 3TG: E00126719,L40 3TG,E00126719,3,25
L40 4AH: E00129331,L40 4AH,E00129331,17,89
L40 4AH: E00129332,L40 4AH,E00129332,2,11
L40 4AW: E00129334,L40 4AW,E00129334,13,72
L40 4AW: E00129335,L40 4AW,E00129335,5,28
L40 4BL: E00129435,L40 4BL,E00129435,26,70
L40 4BL: E00129437,L40 4BL,E00129437,11,30
L40 4BX: E00129328,L40 4BX,E00129328,18,33
L40 4BX: E00129433,L40 4BX,E00129433,36,67
L40 5BD: E00129324,L40 5BD,E00129324,52,44
L40 5BD: E00129327,L40 5BD,E00129327,30,26
L40 5BD: E00129328,L40 5BD,E00129328,35,30
L40 5BE: E00129324,L40 5BE,E00129324,77,56
L40 5BE: E00129327,L40 5BE,E00129327,2,1
L40 5BE: E00129328,L40 5BE,E00129328,58,42
L40 5BF: E00129327,L40 5BF,E00129327,21,34
L40 5BF: E00129328,L40 5BF,E00129328,41,66
L40 5BP: E00129324,L40 5BP,E00129324,39,68
L40 5BP: E00129328,L40 5BP,E00129328,18,32
L40 5BQ: E00129327,L40 5BQ,E00129327,4,9
L40 5BQ: E00129328,L40 5BQ,E00129328,42,91
L40 5TG: E00129327,L40 5TG,E00129327,52,98
L40 5TG: E00129433,L40 5TG,E00129433,1,2
L40 5TJ: E00129323,L40 5TJ,E00129323,6,4
L40 5TJ: E00129333,L40 5TJ,E00129333,149,96
L40 5TU: E00129350,L40 5TU,E00129350,11,69
L40 5TU: E00129434,L40 5TU,E00129434,5,31
L40 6GA: E00129349,L40 6GA,E00129349,7,88
L40 6GA: E00129350,L40 6GA,E00129350,1,13
L40 6JG: E00129301,L40 6JG,E00129301,5,17
L40 6JG: E00129434,L40 6JG,E00129434,25,83
L40 6JH: E00129434,L40 6JH,E00129434,72,96
L40 6JH: E00129503,L40 6JH,E00129503,3,4
L40 6JJ: E00129254,L40 6JJ,E00129254,2,50
L40 6JJ: E00129437,L40 6JJ,E00129437,2,50
L40 6JL: E00129301,L40 6JL,E00129301,22,85
L40 6JL: E00129350,L40 6JL,E00129350,4,15
L40 6JN: E00129301,L40 6JN,E00129301,13,38
L40 6JN: E00129349,L40 6JN,E00129349,21,62
L40 6JQ: E00129301,L40 6JQ,E00129301,29,94
L40 6JQ: E00129503,L40 6JQ,E00129503,2,6
L40 7RB: E00129322,L40 7RB,E00129322,117,96
L40 7RB: E00129326,L40 7RB,E00129326,5,4
L40 7RG: E00129330,L40 7RG,E00129330,114,93
L40 7RG: E00129342,L40 7RG,E00129342,9,7
L40 7SP: E00129347,L40 7SP,E00129347,9,47
L40 7SP: E00129486,L40 7SP,E00129486,8,42
L40 7SP: E00129494,L40 7SP,E00129494,2,11
L40 7TG: E00129327,L40 7TG,E00129327,7,8
L40 7TG: E00129345,L40 7TG,E00129345,76,92
L40 8HE: E00129479,L40 8HE,E00129479,4,33
L40 8HE: E00129486,L40 8HE,E00129486,8,67
L40 8HJ: E00129478,L40 8HJ,E00129478,184,94
L40 8HJ: E00129480,L40 8HJ,E00129480,12,6
L40 8JD: E00129479,L40 8JD,E00129479,60,97
L40 8JD: E00129480,L40 8JD,E00129480,2,3
L40 9RA: E00129478,L40 9RA,E00129478,32,84
L40 9RA: E00129479,L40 9RA,E00129479,6,16
L40 9RD: E00129473,L40 9RD,E00129473,4,9
L40 9RD: E00129474,L40 9RD,E00129474,39,91
L40 9RL: E00129470,L40 9RL,E00129470,23,70
L40 9RL: E00129478,L40 9RL,E00129478,10,30
L4  0RD: E00033231,L4  0RD,E00033231,30,94
L4  0RD: E00033262,L4  0RD,E00033262,2,6
L4  0RG: E00176597,L4  0RG,E00176597,21,84
L4  0RG: E00176747,L4  0RG,E00176747,4,16
L4  0RT: E00033172,L4  0RT,E00033172,6,13
L4  0RT: E00033176,L4  0RT,E00033176,40,87
L4  0SL: E00033235,L4  0SL,E00033235,1,6
L4  0SL: E00176597,L4  0SL,E00176597,17,94
L4  0SY: E00033143,L4  0SY,E00033143,1,2
L4  0SY: E00033150,L4  0SY,E00033150,58,98
L4  0TD: E00033172,L4  0TD,E00033172,61,54
L4  0TD: E00033260,L4  0TD,E00033260,51,46
L4  0TQ: E00033172,L4  0TQ,E00033172,2,8
L4  0TQ: E00033178,L4  0TQ,E00033178,22,92
L4  1QD: E00033950,L4  1QD,E00033950,46,90
L4  1QD: E00033973,L4  1QD,E00033973,5,10
L4  1QU: E00033953,L4  1QU,E00033953,83,92
L4  1QU: E00033955,L4  1QU,E00033955,7,8
L4  1RD: E00033953,L4  1RD,E00033953,32,97
L4  1RD: E00033955,L4  1RD,E00033955,1,3
L4  1RE: E00033950,L4  1RE,E00033950,35,70
L4  1RE: E00033972,L4  1RE,E00033972,15,30
L4  1RQ: E00033953,L4  1RQ,E00033953,51,94
L4  1RQ: E00033955,L4  1RQ,E00033955,3,6
L4  1RS: E00033950,L4  1RS,E00033950,1,1
L4  1RS: E00033973,L4  1RS,E00033973,78,99
L4  1XT: E00033950,L4  1XT,E00033950,18,42
L4  1XT: E00033952,L4  1XT,E00033952,25,58
L4  2RD: E00033152,L4  2RD,E00033152,14,93
L4  2RD: E00033154,L4  2RD,E00033154,1,7
L4  2RY: E00033146,L4  2RY,E00033146,4,57
L4  2RY: E00034295,L4  2RY,E00034295,3,43
L4  2RZ: E00033135,L4  2RZ,E00033135,11,85
L4  2RZ: E00033144,L4  2RZ,E00033144,2,15
L4  2SH: E00033135,L4  2SH,E00033135,8,23
L4  2SH: E00033177,L4  2SH,E00033177,27,77
L4  2SP: E00033132,L4  2SP,E00033132,127,98
L4  2SP: E00033178,L4  2SP,E00033178,3,2
L4  2TX: E00033175,L4  2TX,E00033175,59,95
L4  2TX: E00033179,L4  2TX,E00033179,3,5
L4  2UB: E00033133,L4  2UB,E00033133,27,30
L4  2UB: E00034287,L4  2UB,E00034287,63,70
L4  2UD: E00033133,L4  2UD,E00033133,34,69
L4  2UD: E00034286,L4  2UD,E00034286,15,31
L4  2UG: E00033134,L4  2UG,E00033134,48,76
L4  2UG: E00034295,L4  2UG,E00034295,15,24
L4  2UP: E00034286,L4  2UP,E00034286,5,5
L4  2UP: E00034287,L4  2UP,E00034287,100,95
L4  2UQ: E00033134,L4  2UQ,E00033134,26,48
L4  2UQ: E00034295,L4  2UQ,E00034295,28,52
L4  2XB: E00033134,L4  2XB,E00033134,1,5
L4  2XB: E00034295,L4  2XB,E00034295,18,95
L4  3TF: E00033948,L4  3TF,E00033948,5,45
L4  3TF: E00034365,L4  3TF,E00034365,6,55
L4  3TY: E00033963,L4  3TY,E00033963,7,37
L4  3TY: E00033964,L4  3TY,E00033964,12,63
L4  4HP: E00033974,L4  4HP,E00033974,25,26
L4  4HP: E00033975,L4  4HP,E00033975,70,74
L4  4HS: E00033260,L4  4HS,E00033260,4,4
L4  4HS: E00033261,L4  4HS,E00033261,90,96
L4  4JS: E00033974,L4  4JS,E00033974,6,24
L4  4JS: E00033975,L4  4JS,E00033975,19,76
L4  4ND: E00033951,L4  4ND,E00033951,3,16
L4  4ND: E00033972,L4  4ND,E00033972,16,84
L4  5PE: E00033987,L4  5PE,E00033987,4,44
L4  5PE: E00033988,L4  5PE,E00033988,5,56
L4  5PR: E00033988,L4  5PR,E00033988,73,80
L4  5PR: E00033989,L4  5PR,E00033989,18,20
L4  5PW: E00033483,L4  5PW,E00033483,2,13
L4  5PW: E00033509,L4  5PW,E00033509,13,87
L4  5QS: E00033947,L4  5QS,E00033947,60,91
L4  5QS: E00033986,L4  5QS,E00033986,6,9
L4  5QW: E00033983,L4  5QW,E00033983,85,98
L4  5QW: E00033987,L4  5QW,E00033987,2,2
L4  5QX: E00033983,L4  5QX,E00033983,9,26
L4  5QX: E00033985,L4  5QX,E00033985,25,74
L4  5QY: E00033947,L4  5QY,E00033947,2,3
L4  5QY: E00033983,L4  5QY,E00033983,15,19
L4  5QY: E00034388,L4  5QY,E00034388,60,78
L4  5RJ: E00033164,L4  5RJ,E00033164,2,3
L4  5RJ: E00033167,L4  5RJ,E00033167,2,3
L4  5RJ: E00033493,L4  5RJ,E00033493,58,94
L4  5RL: E00033167,L4  5RL,E00033167,1,1
L4  5RL: E00033523,L4  5RL,E00033523,77,99
L4  5TQ: E00033522,L4  5TQ,E00033522,5,5
L4  5TQ: E00033523,L4  5TQ,E00033523,92,95
L4  5UF: E00033483,L4  5UF,E00033483,88,96
L4  5UF: E00033510,L4  5UF,E00033510,4,4
L4  5XA: E00033474,L4  5XA,E00033474,68,97
L4  5XA: E00033492,L4  5XA,E00033492,2,3
L4  5XB: E00033474,L4  5XB,E00033474,3,5
L4  5XB: E00033492,L4  5XB,E00033492,56,95
L4  6TH: E00033484,L4  6TH,E00033484,28,78
L4  6TH: E00033513,L4  6TH,E00033513,8,22
L4  6UD: E00033484,L4  6UD,E00033484,31,86
L4  6UD: E00033513,L4  6UD,E00033513,5,14
L4  6UF: E00033485,L4  6UF,E00033485,2,6
L4  6UF: E00033516,L4  6UF,E00033516,31,94
L4  6UY: E00033485,L4  6UY,E00033485,1,2
L4  6UY: E00033487,L4  6UY,E00033487,43,98
L4  7TS: E00033174,L4  7TS,E00033174,59,58
L4  7TS: E00034285,L4  7TS,E00034285,42,42
L4  7TT: E00033174,L4  7TT,E00033174,8,13
L4  7TT: E00034285,L4  7TT,E00034285,55,87
L4  7TX: E00033171,L4  7TX,E00033171,15,56
L4  7TX: E00034285,L4  7TX,E00034285,12,44
L4  7UD: E00033174,L4  7UD,E00033174,2,5
L4  7UD: E00034285,L4  7UD,E00034285,39,95
L4  7UL: E00033174,L4  7UL,E00033174,6,43
L4  7UL: E00034286,L4  7UL,E00034286,8,57
L4  7UN: E00033168,L4  7UN,E00033168,56,97
L4  7UN: E00033170,L4  7UN,E00033170,2,3
L4  8SG: E00033439,L4  8SG,E00033439,23,37
L4  8SG: E00033478,L4  8SG,E00033478,39,63
L4  8ST: E00033439,L4  8ST,E00033439,37,46
L4  8ST: E00033497,L4  8ST,E00033497,43,54
L4  9RS: E00034123,L4  9RS,E00034123,5,7
L4  9RS: E00034124,L4  9RS,E00034124,63,93
L4  9SW: E00033479,L4  9SW,E00033479,86,90
L4  9SW: E00033504,L4  9SW,E00033504,10,10
L4  9TG: E00033479,L4  9TG,E00033479,4,5
L4  9TG: E00033504,L4  9TG,E00033504,82,95
L4  9UU: E00033482,L4  9UU,E00033482,1,9
L4  9UU: E00176632,L4  9UU,E00176632,10,91
L5  0BB: E00033235,L5  0BB,E00033235,6,4
L5  0BB: E00033238,L5  0BB,E00033238,137,96
L5  0PZ: E00033224,L5  0PZ,E00033224,52,87
L5  0PZ: E00033238,L5  0PZ,E00033238,8,13
L5  0QW: E00033245,L5  0QW,E00033245,62,97
L5  0QW: E00033256,L5  0QW,E00033256,2,3
L5  0QX: E00033235,L5  0QX,E00033235,7,39
L5  0QX: E00033238,L5  0QX,E00033238,11,61
L5  0RD: E00033224,L5  0RD,E00033224,12,13
L5  0RD: E00033238,L5  0RD,E00033238,12,13
L5  0RD: E00033245,L5  0RD,E00033245,67,74
L5  0RR: E00033237,L5  0RR,E00033237,8,25
L5  0RR: E00033264,L5  0RR,E00033264,24,75
L5  0RX: E00033237,L5  0RX,E00033237,24,73
L5  0RX: E00033264,L5  0RX,E00033264,9,27
L5  0TB: E00033237,L5  0TB,E00033237,53,85
L5  0TB: E00033248,L5  0TB,E00033248,9,15
L5  0TD: E00033237,L5  0TD,E00033237,52,98
L5  0TD: E00033264,L5  0TD,E00033264,1,2
L5  0TU: E00033224,L5  0TU,E00033224,43,39
L5  0TU: E00033238,L5  0TU,E00033238,66,61
L5  1TG: E00033224,L5  1TG,E00033224,24,75
L5  1TG: E00176597,L5  1TG,E00176597,8,25
L5  1TW: E00033235,L5  1TW,E00033235,18,12
L5  1TW: E00176597,L5  1TW,E00176597,132,88
L5  2AR: E00034352,L5  2AR,E00034352,4,7
L5  2AR: E00034358,L5  2AR,E00034358,15,27
L5  2AR: E00176596,L5  2AR,E00176596,1,2
L5  2AR: E00176751,L5  2AR,E00176751,35,64
L5  2QN: E00033980,L5  2QN,E00033980,24,89
L5  2QN: E00033982,L5  2QN,E00033982,3,11
L5  2RA: E00034349,L5  2RA,E00034349,70,97
L5  2RA: E00034372,L5  2RA,E00034372,2,3
L5  2ST: E00034349,L5  2ST,E00034349,12,22
L5  2ST: E00034371,L5  2ST,E00034371,42,78
L5  4NH: E00033251,L5  4NH,E00033251,7,17
L5  4NH: E00033253,L5  4NH,E00033253,35,83
L5  5BQ: E00034351,L5  5BQ,E00034351,2,3
L5  5BQ: E00034360,L5  5BQ,E00034360,74,97
L5  5DZ: E00034356,L5  5DZ,E00034356,7,14
L5  5DZ: E00034373,L5  5DZ,E00034373,43,84
L5  5DZ: E00176746,L5  5DZ,E00176746,1,2
L5  5EH: E00034356,L5  5EH,E00034356,17,37
L5  5EH: E00176746,L5  5EH,E00176746,29,63
L5  5EJ: E00034356,L5  5EJ,E00034356,27,61
L5  5EJ: E00034373,L5  5EJ,E00034373,17,39
L5  5EP: E00034349,L5  5EP,E00034349,6,86
L5  5EP: E00034356,L5  5EP,E00034356,1,14
L5  5EY: E00034373,L5  5EY,E00034373,63,97
L5  5EY: E00176746,L5  5EY,E00176746,2,3
L5  6QU: E00033226,L5  6QU,E00033226,2,5
L5  6QU: E00033250,L5  6QU,E00033250,38,95
L5  6RW: E00033225,L5  6RW,E00033225,159,79
L5  6RW: E00176747,L5  6RW,E00176747,42,21
L5  7QD: E00034368,L5  7QD,E00034368,16,55
L5  7QD: E00034369,L5  7QD,E00034369,13,45
L5  7RP: E00034369,L5  7RP,E00034369,55,95
L5  7RP: E00165716,L5  7RP,E00165716,3,5
L5  8SF: E00034351,L5  8SF,E00034351,70,97
L5  8SF: E00034374,L5  8SF,E00034374,2,3
L5  8SL: E00034351,L5  8SL,E00034351,4,50
L5  8SL: E00034352,L5  8SL,E00034352,4,50
L5  8YF: E00034354,L5  8YF,E00034354,51,56
L5  8YF: E00034362,L5  8YF,E00034362,40,44
L5  9RA: E00034358,L5  9RA,E00034358,16,19
L5  9RA: E00176751,L5  9RA,E00176751,68,81
L5  9RB: E00034358,L5  9RB,E00034358,17,31
L5  9RB: E00176751,L5  9RB,E00176751,38,69
L6  0AB: E00033152,L6  0AB,E00033152,38,90
L6  0AB: E00034301,L6  0AB,E00034301,4,10
L6  0BB: E00034265,L6  0BB,E00034265,1,33
L6  0BB: E00034291,L6  0BB,E00034291,2,67
L6  0BW: E00034289,L6  0BW,E00034289,93,96
L6  0BW: E00034291,L6  0BW,E00034291,4,4
L6  1BS: E00034221,L6  1BS,E00034221,1,33
L6  1BS: E00034222,L6  1BS,E00034222,2,67
L6  1NR: E00176752,L6  1NR,E00176752,11,52
L6  1NR: E00176757,L6  1NR,E00176757,10,48
L6  2BB: E00033688,L6  2BB,E00033688,5,8
L6  2BB: E00033689,L6  2BB,E00033689,59,92
L6  2BL: E00033688,L6  2BL,E00033688,47,73
L6  2BL: E00033689,L6  2BL,E00033689,17,27
L6  2JG: E00033254,L6  2JG,E00033254,54,78
L6  2JG: E00033257,L6  2JG,E00033257,15,22
L6  2JN: E00033254,L6  2JN,E00033254,18,55
L6  2JN: E00033257,L6  2JN,E00033257,15,45
L6  2WD: E00033257,L6  2WD,E00033257,13,36
L6  2WD: E00033691,L6  2WD,E00033691,23,64
L6  3AB: E00033910,L6  3AB,E00033910,1,1
L6  3AB: E00033934,L6  3AB,E00033934,67,99
L6  3AQ: E00033935,L6  3AQ,E00033935,9,10
L6  3AQ: E00033938,L6  3AQ,E00033938,81,90
L6  3BD: E00176731,L6  3BD,E00176731,136,96
L6  3BD: E00176733,L6  3BD,E00176733,5,4
L6  3BS: E00033905,L6  3BS,E00033905,5,31
L6  3BS: E00033920,L6  3BS,E00033920,11,69
L6  3BZ: E00033905,L6  3BZ,E00033905,1,2
L6  3BZ: E00033920,L6  3BZ,E00033920,56,98
L6  4AW: E00033137,L6  4AW,E00033137,4,8
L6  4AW: E00033159,L6  4AW,E00033159,48,92
L6  4DJ: E00034265,L6  4DJ,E00034265,40,24
L6  4DJ: E00034294,L6  4DJ,E00034294,127,76
L6  4DQ: E00034309,L6  4DQ,E00034309,101,89
L6  4DQ: E00034311,L6  4DQ,E00034311,13,11
L6  4DU: E00034270,L6  4DU,E00034270,3,5
L6  4DU: E00034306,L6  4DU,E00034306,53,95
L6  4ES: E00034265,L6  4ES,E00034265,42,76
L6  4ES: E00034294,L6  4ES,E00034294,13,24
L6  4ET: E00034265,L6  4ET,E00034265,4,2
L6  4ET: E00034294,L6  4ET,E00034294,183,98
L6  5HX: E00033228,L6  5HX,E00033228,72,95
L6  5HX: E00033252,L6  5HX,E00033252,4,5
L6  5JP: E00033904,L6  5JP,E00033904,7,5
L6  5JP: E00033918,L6  5JP,E00033918,123,95
L6  5LS: E00033228,L6  5LS,E00033228,30,77
L6  5LS: E00033252,L6  5LS,E00033252,9,23
L6  5LW: E00033228,L6  5LW,E00033228,64,97
L6  5LW: E00033252,L6  5LW,E00033252,2,3
L6  6AA: E00033920,L6  6AA,E00033920,16,84
L6  6AA: E00033923,L6  6AA,E00033923,3,16
L6  6AQ: E00033921,L6  6AQ,E00033921,71,99
L6  6AQ: E00033928,L6  6AQ,E00033928,1,1
L6  6AW: E00033930,L6  6AW,E00033930,63,95
L6  6AW: E00033932,L6  6AW,E00033932,3,5
L6  6AX: E00033923,L6  6AX,E00033923,55,93
L6  6AX: E00033930,L6  6AX,E00033930,4,7
L6  6AY: E00033924,L6  6AY,E00033924,93,98
L6  6AY: E00033926,L6  6AY,E00033926,2,2
L6  6BS: E00033909,L6  6BS,E00033909,10,83
L6  6BS: E00033946,L6  6BS,E00033946,2,17
L6  6BZ: E00033931,L6  6BZ,E00033931,1,1
L6  6BZ: E00033936,L6  6BZ,E00033936,98,99
L6  6DA: E00033931,L6  6DA,E00033931,1,1
L6  6DA: E00033936,L6  6DA,E00033936,86,96
L6  6DA: E00033946,L6  6DA,E00033946,3,3
L6  8NQ: E00033907,L6  8NQ,E00033907,34,41
L6  8NQ: E00034282,L6  8NQ,E00034282,48,59
L6  8PD: E00034283,L6  8PD,E00034283,19,79
L6  8PD: E00034284,L6  8PD,E00034284,5,21
L6  9AE: E00033921,L6  9AE,E00033921,2,13
L6  9AE: E00033928,L6  9AE,E00033928,13,87
L6  9BA: E00033921,L6  9BA,E00033921,8,57
L6  9BA: E00034202,L6  9BA,E00034202,6,43
L6  9HS: E00033921,L6  9HS,E00033921,6,3
L6  9HS: E00033928,L6  9HS,E00033928,176,94
L6  9HS: E00033931,L6  9HS,E00033931,1,1
L6  9HS: E00033941,L6  9HS,E00033941,5,3
L6  9HT: E00033909,L6  9HT,E00033909,117,97
L6  9HT: E00033931,L6  9HT,E00033931,1,1
L6  9HT: E00033941,L6  9HT,E00033941,3,2
L7  0ET: E00033915,L7  0ET,E00033915,2,1
L7  0ET: E00033944,L7  0ET,E00033944,144,99
L7  0HN: E00033898,L7  0HN,E00033898,8,89
L7  0HN: E00033942,L7  0HN,E00033942,1,11
L7  0HX: E00033901,L7  0HX,E00033901,9,41
L7  0HX: E00033945,L7  0HX,E00033945,13,59
L7  0JA: E00033901,L7  0JA,E00033901,1,6
L7  0JA: E00033908,L7  0JA,E00033908,16,94
L7  0JD: E00033898,L7  0JD,E00033898,5,50
L7  0JD: E00033940,L7  0JD,E00033940,5,50
L7  0JE: E00033898,L7  0JE,E00033898,8,12
L7  0JE: E00033942,L7  0JE,E00033942,61,88
L7  0JG: E00033898,L7  0JG,E00033898,71,99
L7  0JG: E00033940,L7  0JG,E00033940,1,1
